No,Date,OPD,Name,Gender,Age,Bleed,Weight,PCV,WBC,"PLT
______",Creatinine,ALT,Snap4Dx,PLATELETS,HGB,RBC,MCV,MCHC,MCH,SEGS,LYMPH,MONO,PROTEIN (REFRACT),RDW,"________
(_______)","____ file
(_______)",crossmatch_result,donor_name,"PCV
donor",product,Volume,"________
(___ file _________)",PCV_target,PCV_Sucess,PCV_afterdonation,WBC_afterdoantion,"________
(_______)","____ file
(_______)"
141,18-Aug-17,60002755,นวล,F,0,Unknow,18.6,9.3,4.19,3,,,,3,3.1,1.42,65.49,33.33,21.83,85.2,11.5,3.1,9,13.6,PCV 9,b60\50.txt,ผ่าน,น้ำชา,42,SWB,450,,20.59032258,21.7,21.7,1.67,pcv 22 agglutination  RT=neg/4C=neg,a60\50.txt
142,29-Aug-17,60003100,ไมโล,M,,CROSSBREED,10,16,9.75,285,,,,285,16.2,7.05,68.5,34,23.5,68.5,21,6.5,,16.5,,,ผ่าน,มะลิ,50,SWB,200,140 ml,27.11111111,30,30,,,
143,22-Sep-17,60003031,สิงโต,F,0,CROSSBREED,10.8,11.5,70.75,380,,,,380,3,1.51,76.16,26.09,19.87,91.8,4.1,3.3,5,16.5,PCV 13,b60\56.txt,ผ่าน,มะลิ,50,SWB,140,,18.70164609,27,27,0,0,a60\56.txt
144,11-Sep-17,60003271,ไมโล,F,,CROSSBREED,4.6,12,9.75,285,,,,285,16.2,7.05,68.5,34,23.5,68.5,21,6.5,,16.5,,,ผ่าน,ไข่ตุ๋น,55,SWB,100,300 ml,25.28502415,20.5,20.5,,,
146,12-Sep-17,60003220,ถุงเท้า,F,0,Labardor,26,6.8,7.8,15,,,,15,2.1,0.87,78.16,30.88,24.14,79.6,14,6,3.8,29.5,pcv 9,b60\52.txt,ผ่าน,มอมแดง,53.3,SWB,450,,17.05,19,19,4.54,PCV=18,a60\52.txt
147,1-Jan-18,59004943,สิง(ตาย),M,0,Unknow,13,14.2,9.75,285,,,,111,4.5,2.36,60.17,31.69,19.07,79.2,9.2,11.6,6.2,16.6,pcv 15 plt. clumping +1 Agglutination RT=neg/4C=neg,_b61\1.txt,ผ่าน,คิตตี้,36,FWB,250,,21.89230769,17,17,28.8,pcv 17,_a61\1.txt
151,7-Jan-18,61000087,ออฟฟิศ,M,0,CROSSBREED,1.3,15.7,9.22,3,,,,3,4.5,2.45,64.08,28.66,18.37,64.2,27.9,7.2,5.2,20.1,PCV=15,_b61\5.txt,ผ่าน,เล็ก,49.9,FWB,80,,49.81965812,28.7,28.7,12.38,pcv 28,_a61\5.txt
153,16-Jan-18,61000218,น้ำตาล,M,0,CROSSBREED,6.5,13.1,28.6,4,,,,4,3.5,1.59,82.39,26.72,22.01,73.6,10.5,15.6,7,20.8,PCV 14,_b61\7.txt,ผ่าน,หรั่ง,47.9,SWB,200,,29.47606838,28.9,28.9,21.19,PCV 27,_a61\7.txt
154,19-Jan-18,61000229,เฉาก๊วย,M,0,CROSSBREED,38,11.3,33.52,2,,,,2,3,1.18,95.76,26.55,25.42,64,25,9,7,16.5,pcv 12,_b61\8.txt,ผ่าน,สนุย,48.4,FWB,400,,16.96081871,18.6,18.6,28.43,"pcv 17, giant plt 2/oil field",_a61\8.txt
155,28-Jan-18,60003967,คิวคู(Cillco) ตาย,M,0,CROSSBREED,12.8,19.6,36.23,148,,,,148,6.7,2.86,68.53,34.18,23.43,86.5,6.2,6.8,7,18.1,PCV=20,_b61\9.txt,ผ่าน,ลิป,45,SWB,300,,31.31875,31.2,31.2,35.51,PCV=31,_a61\9.txt
156,2-Feb-18,61000369,ช็อกโกแลต 2,F,0,POODLE,2.9,22.7,13.13,209,,,,209,7.2,3.15,72.06,31.72,22.86,36,54.4,7.5,11.2,21.5,pcv 20,b61\10.txt,ผ่าน,หรั่ง,47.9,SWB,100,,41.05249042,35.4,35.4,21.73,pcv 40 plt. clumping +1,a61\10.txt
157,2-Feb-18,58006235,ดีเจ(DJ) ตาย,M,0,GOLDEN RETRIEVER,58,37.2,10.19,164,,,,164,13.1,5.78,64.36,35.22,22.66,72.7,19.4,4.1,6,17.4,pcv 35,b61\11.txt,ผ่าน,ส้มจิ๊ด,47.7,SWB,300,,39.94137931,37.7,37.7,11,pcv 35,a61\11.txt
